"year","base_city","base_region_en","base_region_kr","target_city","target_region_en","target_region_kr","cargo_volume","logistics_type"
"2020","서울","Capital Area","수도권","광주","Honam","호남권","181615","권역 간"
"2020","서울","Capital Area","수도권","세종","Chungcheong(excl. DJ)","충청권(대전제외)","117497","권역 간"
"2020","서울","Capital Area","수도권","대전","Daejeon","대전시","294377","권역 간"
"2020","서울","Capital Area","수도권","울산","Yeongnam","영남권","429498","권역 간"
"2020","서울","Capital Area","수도권","경기","Capital Area","수도권","16739449","권역 내"
"2020","서울","Capital Area","수도권","강원","Others","기타","858841","권역 간"
"2020","서울","Capital Area","수도권","충북","Chungcheong(excl. DJ)","충청권(대전제외)","1086555","권역 간"
"2020","서울","Capital Area","수도권","충남","Chungcheong(excl. DJ)","충청권(대전제외)","1608799","권역 간"
"2020","서울","Capital Area","수도권","전북","Honam","호남권","249708","권역 간"
"2020","서울","Capital Area","수도권","전남","Honam","호남권","509461","권역 간"
"2020","서울","Capital Area","수도권","경북","Yeongnam","영남권","1233957","권역 간"
"2020","서울","Capital Area","수도권","경남","Yeongnam","영남권","758943","권역 간"
"2020","서울","Capital Area","수도권","제주","Others","기타","0","권역 간"
"2020","부산","Yeongnam","영남권","서울","Capital Area","수도권","1732550","권역 간"
"2020","부산","Yeongnam","영남권","부산","Yeongnam","영남권","38446239","권역 내"
"2020","부산","Yeongnam","영남권","대구","Yeongnam","영남권","1722556","권역 내"
"2020","부산","Yeongnam","영남권","인천","Capital Area","수도권","3479945","권역 간"
"2020","부산","Yeongnam","영남권","광주","Honam","호남권","880264","권역 간"
"2020","부산","Yeongnam","영남권","세종","Chungcheong(excl. DJ)","충청권(대전제외)","553008","권역 간"
