시도별,산업별,산업코드,연도,지표,단위,값,비고
광주광역시,제조업,10~34,2021,유형자산 연말잔액,백만원,10910287.0,
대전광역시,광업 및 제조업,,2021,유형자산 연말잔액,백만원,7143437.0,
대전광역시,광업,05~08,2021,유형자산 연말잔액,백만원,0.0,-
대전광역시,제조업,10~34,2021,유형자산 연말잔액,백만원,7143437.0,
울산광역시,광업 및 제조업,,2021,유형자산 연말잔액,백만원,57096474.0,
울산광역시,광업,05~08,2021,유형자산 연말잔액,백만원,74561.0,
울산광역시,제조업,10~34,2021,유형자산 연말잔액,백만원,57021913.0,
세종특별자치시,광업 및 제조업,,2021,유형자산 연말잔액,백만원,4043668.0,
세종특별자치시,광업,05~08,2021,유형자산 연말잔액,백만원,9994.0,
세종특별자치시,제조업,10~34,2021,유형자산 연말잔액,백만원,4033674.0,
경기도,광업 및 제조업,,2021,유형자산 연말잔액,백만원,223115863.0,
경기도,광업,05~08,2021,유형자산 연말잔액,백만원,700097.0,
경기도,제조업,10~34,2021,유형자산 연말잔액,백만원,222415766.0,
강원특별자치도,광업 및 제조업,,2021,유형자산 연말잔액,백만원,9327493.0,
강원특별자치도,광업,05~08,2021,유형자산 연말잔액,백만원,1157923.0,
강원특별자치도,제조업,10~34,2021,유형자산 연말잔액,백만원,8169570.0,
충청북도,광업 및 제조업,,2021,유형자산 연말잔액,백만원,42729246.0,
충청북도,광업,05~08,2021,유형자산 연말잔액,백만원,178196.0,
충청북도,제조업,10~34,2021,유형자산 연말잔액,백만원,42551050.0,
충청남도,광업 및 제조업,,2021,유형자산 연말잔액,백만원,83277018.0,
충청남도,광업,05~08,2021,유형자산 연말잔액,백만원,161336.0,
충청남도,제조업,10~34,2021,유형자산 연말잔액,백만원,83115682.0,
전라북도,광업 및 제조업,,2021,유형자산 연말잔액,백만원,16713134.0,
전라북도,광업,05~08,2021,유형자산 연말잔액,백만원,75805.0,
전라북도,제조업,10~34,2021,유형자산 연말잔액,백만원,16637329.0,
전라남도,광업 및 제조업,,2021,유형자산 연말잔액,백만원,41788744.0,
전라남도,광업,05~08,2021,유형자산 연말잔액,백만원,205749.0,
전라남도,제조업,10~34,2021,유형자산 연말잔액,백만원,41582995.0,
경상북도,광업 및 제조업,,2021,유형자산 연말잔액,백만원,49963413.0,
경상북도,광업,05~08,2021,유형자산 연말잔액,백만원,134030.0,
경상북도,제조업,10~34,2021,유형자산 연말잔액,백만원,49829383.0,
경상남도,광업 및 제조업,,2021,유형자산 연말잔액,백만원,64282694.0,
경상남도,광업,05~08,2021,유형자산 연말잔액,백만원,158795.0,
경상남도,제조업,10~34,2021,유형자산 연말잔액,백만원,64123899.0,
제주특별자치도,광업 및 제조업,,2021,유형자산 연말잔액,백만원,1175934.0,
